,temp_C_mean,temp_C_min,temp_C_max,wind_speed_mean,wind_speed_min,wind_speed_max,precip_mm_sum
2023-08-13 00:00:00+00:00,22.128296,15.178467,30.022797,3.2444432,2.2179923,4.5883427,6.0305876e-05
2023-08-14 00:00:00+00:00,21.557825,13.914246,29.719543,2.9943836,2.0965912,4.479847,0.00010471718
2023-08-15 00:00:00+00:00,22.489893,15.668671,30.213684,2.9288023,1.8639877,4.845139,7.947287e-06
2023-08-16 00:00:00+00:00,22.201464,15.44928,29.949554,2.9738295,2.0169508,4.6293807,0.00049179676
2023-08-17 00:00:00+00:00,22.437529,15.91626,30.176392,2.8797367,1.8057905,4.568035,0.001524944
2023-08-18 00:00:00+00:00,23.253662,17.232697,30.171143,2.2359998,0.6407827,3.7279856,0.003177512
2023-08-19 00:00:00+00:00,25.010437,19.36084,31.628815,1.8700162,0.53824896,3.322601,0.003973643
2023-08-20 00:00:00+00:00,26.863358,19.636108,34.9534,2.3103504,1.4075451,3.4418557,0.00010752211
2023-08-21 00:00:00+00:00,28.701254,19.638062,38.281708,1.9516262,0.90664536,3.2001996,0.0
2023-08-22 00:00:00+00:00,30.506971,22.528992,38.673096,1.2647142,0.62548,2.3187943,0.010819529
2023-08-23 00:00:00+00:00,29.683023,22.376343,37.44928,1.4175019,0.1262943,3.1285212,0.0075882557
2023-08-24 00:00:00+00:00,27.642252,20.719238,35.437958,2.0343862,0.9962356,3.9220457,0.00019587722
2023-08-25 00:00:00+00:00,26.152924,19.255066,33.964783,2.6797342,1.7593342,4.22369,0.0015324238
2023-08-26 00:00:00+00:00,21.218672,16.251038,26.758057,4.232839,2.2871022,6.1332316,0.0004978741
2023-08-27 00:00:00+00:00,19.919436,13.377502,26.47342,4.7012553,3.548597,5.6225333,0.0
2023-08-28 00:00:00+00:00,21.626846,14.904236,28.675293,3.8886025,2.6876776,5.644248,1.02847225e-05
2023-08-29 00:00:00+00:00,21.82312,15.529633,29.127136,4.198057,3.1351142,5.9696674,9.817236e-06
2023-08-30 00:00:00+00:00,22.141106,15.498779,29.58316,3.582136,2.8090093,4.5286913,5.1423617e-06
2023-08-31 00:00:00+00:00,23.235144,15.519928,31.139465,2.0792186,0.6314232,3.3725297,1.0418291e-05
