Unnamed: 0,Data,Sunlight (em minutos),avg_price_eur_mwh,temp_C_mean,temp_C_min,temp_C_max,wind_speed_mean,wind_speed_min,wind_speed_max,precip_mm_sum,mean_cloud,min_cloud,max_cloud
145,2023-05-26,878.4,66.47708333333334,17.675337,14.055115,21.817017,2.188916,0.08488273,4.9259477,0.47117072,48.475033,17.081335,70.0149
146,2023-05-27,879.6,87.175,17.592428,14.139587,21.54715,1.0398256,0.19588603,1.576143,0.82271147,70.86698,26.038603,89.2054
147,2023-05-28,880.8,82.1447619047619,16.94441,14.491486,20.303741,2.6185548,1.5331084,4.2566113,0.30842483,86.44153,57.9741,96.05742
148,2023-05-29,882.6,96.5418181818182,16.523676,13.590179,20.019684,2.6979952,1.7154666,4.058819,0.44380873,71.99689,54.87513,92.07132
149,2023-05-30,883.8,94.5981818181818,17.137693,13.639374,21.033173,2.31312,1.3512739,3.7685225,0.42218134,58.858906,33.27134,79.36039
150,2023-05-31,885.0,88.41454545454545,18.318892,13.464264,23.641083,1.8166648,0.30641976,3.5726407,0.118682325,49.090652,35.101856,63.37108
151,2023-06-01,885.6,85.34636363636363,18.758919,13.947968,24.263275,1.4632171,0.5924961,2.3249285,0.2573331,73.21871,54.61587,92.691574
152,2023-06-02,886.8,88.0190909090909,19.260092,14.913025,24.50122,0.9874131,0.34788573,1.545085,0.37188622,60.567135,22.09907,84.40153
153,2023-06-03,888.0,87.11263157894736,19.62762,14.096832,24.94278,1.2119921,0.08311551,2.7113202,0.25465256,45.005848,18.924883,75.29171
154,2023-06-04,888.6,81.33086956521738,20.387903,15.313416,25.600311,1.6152431,0.38259166,2.7781844,0.13544092,44.424606,13.984015,73.50729
155,2023-06-05,889.8,86.46217391304347,21.442053,16.073425,26.855682,1.0874139,0.35185355,1.6541122,0.037550926,45.747086,4.9424114,72.75696
156,2023-06-06,890.4,86.5595652173913,22.884317,16.476166,29.176697,2.303528,0.52581584,4.2966146,0.42646587,89.269356,58.12112,100.0
